Timestamp,X_a,Y_a,Z_a,X_g,Y_g,Z_g,Activity
0.02,0.7267289,9.6816445,0.8246857999999999,-0.0011358201,-0.00041727949999999995,0.001884077,0.0
0.025,0.7553605,9.674639,0.8007211,-0.0009279472,-0.002601789,0.00222,0.0
0.05,0.7259656,9.674034,0.83,0.001698911,-0.00121744,0.0001736964,0.0
0.075,0.7528191,9.697181,0.8484574,0.00111,0.00333,0.002394203,0.0
0.1,0.7559923,9.672672,0.84,0.0006792756,0.002650724,0.001573913,0.0
0.12,0.7527491,9.6787125,0.85287055,0.0011774323,0.0015975674500000002,0.0002319564999999999,0.0
0.125,0.7495059,9.684753,0.8657411,0.001675589,0.0005444109,-0.00111,0.0
0.15,0.7259659,9.676009,0.8739488,0.00312991,-0.00444,-0.00292982,0.0
0.175,0.7352205,9.65522,0.8347795,0.001011398,-0.002121398,-0.00111,0.0
0.2,0.7606876,9.68,0.823438,0.001582595,-0.00222,-0.001747405,0.0
0.22,0.7503438,9.682407,0.8272773,0.0018216095,-0.0031706240000000004,-0.0024590145,0.0
0.225,0.74,9.684814,0.8311166,0.002060624,-0.004121248,-0.003170624,0.0
0.25,0.7422463,9.66,0.83,0.002044102,-0.001815176,-0.005206619,0.0
0.275,0.7121222,9.677878,0.8121222,0.0009833739,0.003076748,-0.004186748,0.0
0.3,0.7188021,9.687604,0.84,-0.00201312,0.00111,-0.00131688,0.0
0.32,0.70440105,9.683802,0.83390605,-0.0003274755,-0.0002964504999999999,0.0009203769999999998,0.0
0.325,0.69,9.68,0.8278121,0.001358169,-0.001702901,0.003157634,0.0
0.35,0.6822421,9.686121,0.8322421,-0.00111,-0.002510891,0.002715668,0.0
0.375,0.65,9.677614,0.8552288,-0.00222,0.007076564,0.01027104,0.0
0.4,0.6938701,9.68484,0.8338701,-0.0002321593,0.009044773,0.01436261,0.0
0.42,0.7317124500000001,9.6798085,0.82954635,-0.00178107965,0.0096312215,0.013846305,0.0
0.425,0.7695548,9.674777,0.8252226,-0.00333,0.01021767,0.01333,0.0
0.45,0.7956277,9.693907,0.8117208,-0.003117352,0.00444,0.0115353,0.0
0.475,0.814994,9.667497,0.835006,0.00111,0.007458151,0.007295776,0.0
0.5,0.8111805,9.697639,0.8411805,-0.001520643,0.007861544,0.003824036,0.0
0.52,0.79037855,9.691425500000001,0.8429844,-0.0013153215000000001,0.0032632959999999997,0.00047196999999999994,0.0
0.525,0.7695766,9.685212,0.8447883,-0.00111,-0.001334952,-0.002880096,0.0
0.55,0.7320326,9.686016,0.8580488,-0.004472358,-0.005196365,-0.004077996,0.0
0.575,0.7630907,9.677637,0.8369093,-0.0003295066,0.004734749,-0.00222,0.0
