Timestamp,X_a,Y_a,Z_a,X_g,Y_g,Z_g,Activity
0.02,0.2950452,9.831636,-0.1822275,-0.001566598,0.001325484,-0.0031175815,0.0
0.025,0.3100904,9.83009,-0.1999096,-0.001590581,0.002650968,-0.002222222,0.0
0.05,0.3280588,9.828059,-0.1840294,0.002387167,0.004129056,-0.002379917,0.0
0.075,0.332477,9.847864,-0.1660681,0.0005956853,-0.00504013,-0.008591046,0.0
0.1,0.2901972,9.833465,-0.1650986,0.0003854942,-0.009659877,-0.008548766,0.0
0.12,0.26767684999999997,9.8356,-0.14641665,-0.0011749244,-0.0066239095000000005,-0.005385493999999999,0.0
0.125,0.2451565,9.837735,-0.1277347,-0.002735343,-0.003587942,-0.002222222,0.0
0.15,0.3,9.864313,-0.1514699,-0.002524169,-0.0009601379,0.0,0.0
0.175,0.27,9.845299,-0.1441019,0.0005846433,-0.0006580847,-0.003596567,0.0
0.2,0.2556865,9.837254,-0.14,0.001111111,-0.008621454,-0.002798463,0.0
0.22,0.26180329999999996,9.841547,-0.1331199,0.0012946034999999998,-0.00412723475,-0.001032247,0.0
0.225,0.2679201,9.84584,-0.1262398,0.001478096,0.0003669845,0.000733969,0.0
0.25,0.2743116,9.837156,-0.1643116,-0.001111111,0.005074765,0.0006303209,0.0
0.275,0.2986192,9.84431,-0.1786192,0.00196566,0.001367673,0.002906059,0.0
0.3,0.2969537,9.855651,-0.1456512,0.001377837,0.0005334508,0.001322208,0.0
0.32,0.2876833,9.833618999999999,-0.1494127,-7.147050000000008e-05,-0.0003757736,0.0019770485,0.0
0.325,0.2784129,9.811587,-0.1531742,-0.001520778,-0.001284998,0.002631889,0.0
0.35,0.2857797,9.841331,-0.1471102,-0.0007383961,0.008157527,0.003333333,0.0
0.375,0.3078873,9.83,-0.1439437,-0.002493382,0.003875653,0.004444444,0.0
0.4,0.3328871,9.828591,-0.1457043,2.355168e-06,0.0008884179,0.004442089,0.0
0.42,0.3188874,9.845924499999999,-0.15285215000000002,-0.001457986416,-0.00024525105000000006,0.001317436,0.0
0.425,0.3048877,9.863258,-0.16,-0.002918328,-0.00137892,-0.001807217,0.0
0.45,0.3190616,9.826246,-0.1681232,-0.003658396,-0.008374687,-0.003333333,0.0
0.475,0.297116,9.80779,-0.173558,0.002405157,-0.008980356,-0.004535912,0.0
0.5,0.28,9.856554,-0.1268929,0.001525964,-0.008474036,-0.004725849,0.0
0.52,0.2842454,9.840195,-0.15728285,-0.0010092555,-0.00629165,-0.0051407025,0.0
0.525,0.2884908,9.823836,-0.1876728,-0.003544475,-0.004109264,-0.005555556,0.0
0.55,0.2814574,9.85,-0.1585426,-0.0006695498,-0.006754979,-0.005555556,0.0
0.575,0.235488,9.835488,-0.166464,0.003333333,-5.564354e-05,-0.003333333,0.0
0.6,0.2456288,9.821876,-0.1718763,0.002914061,0.0,-0.002494789,0.0
0.62,0.27949855,9.824254,-0.18262230000000002,0.002012586,0.0005555555,-0.0022256815,0.0
0.625,0.3133683,9.826632,-0.1933683,0.001111111,0.001111111,-0.001956574,0.0
0.65,0.3047646,9.825235,-0.1673823,-0.00173573,-0.001597603,-0.003333333,0.0
0.675,0.2562075,9.853104,-0.1524151,-0.002737991,-0.003689955,-0.006150898,0.0
0.7,0.27,9.846283,-0.1562828,-0.002336667,-0.001225556,-0.005326666,0.0
0.72,0.27183080000000004,9.828141500000001,-0.1681414,-0.0008891206500000002,0.000777546,-0.004885555,0.0
0.725,0.2736616,9.81,-0.18,0.0005584257,0.002780648,-0.004444444,0.0
0.75,0.3050682,9.803699,-0.1236988,-0.0003397293,-0.003728217,-0.005179057,0.0
0.775,0.260805,9.836935,-0.15613,0.003333333,-0.006008865,-0.005487391,0.0
0.8,0.24,9.868688,-0.1484843,0.001592139,-0.003150414,-0.005406501,0.0
0.82,0.24770305,9.851641,-0.15883605,0.002335908,-0.0020301293499999998,-0.004369917,0.0
0.825,0.2554061,9.834594,-0.1691878,0.003079677,-0.0009098447,-0.003333333,0.0
0.85,0.2655544,9.821109,-0.1733368,0.0008496922,0.000261419,-0.001960803,0.0
0.875,0.2411245,9.821124,-0.1633734,0.001471021,-0.004053154,-0.001142492,0.0
0.9,0.2746696,9.84533,-0.1726652,0.0,-0.0007634708,-0.002396042,0.0
0.92,0.25434045,9.841662,-0.17432694999999998,6.91009e-05,-0.0006940636,-0.002065905,0.0
0.925,0.2340113,9.837994,-0.1759887,0.0001382018,-0.0006246564,-0.001735768,0.0
0.95,0.2366475,9.816647,-0.1733525,0.001111111,-0.002211536,-0.0004380326,0.0
0.975,0.2919299,9.83,-0.180965,-0.000394112,0.0003228872,0.002867997,0.0
1.0,0.31,9.83,-0.1625183,-0.002700726,-0.001759909,0.0,0.0
1.02,0.28204885,9.822951,-0.1703568,-0.0019059185,-0.004311186,-0.002222222,0.0
1.025,0.2540977,9.815902,-0.1781953,-0.001111111,-0.006862463,-0.004444444,0.0
1.05,0.2433673,9.85,-0.1789115,0.0006114497,-0.006167005,-0.002833672,0.0
1.075,0.2731957,9.845206,-0.1779892,0.0002104152,0.001561459,-0.001321526,0.0
1.1,0.2726136,9.847386,-0.17,-0.000972186,0.0001666522,-0.002222222,0.0
1.12,0.2622251,9.8368565,-0.165,-0.0022578465,-0.0010277848999999998,-0.002892905,0.0
